"id_salarié","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","Sexe","Enfants","age","tranche d'age"
"16241106-8329","CDI",35,9218.3,4,0,0,6.7,20,"Marketing","Oui",69,"F",1,47,"40-50"
"16050407-7405","CDI",24,4117.36,8,1,1,6.7,7,"RH","Non",35,"F",1,66,"60-70"
"16890313-1335","CDI",35,3165.2833,0,0,1,6.8,18,"Commercial","Oui",67,"F",2,63,"60-70"
"16220428-5924","CDI",35,6398.8167,11,1,0,7,29,"Consultant","Non",68,"H",0,54,"50-60"
"16640209-4004","CDI",35,6409.4333,21,0,1,7.1,38,"Consultant","Non",80,"H",2,58,"50-60"
"16300713-6405","CDI",35,6413.9833,24,1,0,7.2,59,"Consultant","Oui",72,"F",3,50,"40-50"
"16241218-7045","CDI",35,3891.7667,32,0,0,7.2,28,"Consultant","Oui",13,"H",2,62,"60-70"
"16761028-0344","CDI",24,5448.56,30,0,1,7.3,9,"Consultant","Oui",51,"H",3,58,"50-60"
"16750821-7945","CDI",35,9737,12,1,1,7.4,62,"Consultant","Oui",72,"H",1,57,"50-60"
"16410407-6098","CDI",35,9256.2167,1,1,0,7.4,5,"Compta Finances","Non",84,"F",1,62,"60-70"
"16950828-2259","CDI",24,5462.08,39,0,1,7.5,60,"Marketing","Non",25,"H",2,36,"30-40"
"16670406-9274","CDI",35,3335.15,28,1,0,7.5,6,"RH","Non",90,"H",3,59,"50-60"
"16420516-7234","CDI",35,7710.7333,27,0,1,7.5,70,"RH","Oui",86,"H",2,41,"40-50"
"16290104-5498","CDI",35,9573.2,5,1,0,7.9,28,"R&D","Oui",77,"H",2,53,"50-60"
"16100329-5753","CDI",35,7148.05,21,1,1,7.9,27,"RH","Oui",42,"F",1,40,"40-50"
"16020725-8401","CDI",35,7304.2667,17,1,0,7.9,59,"Consultant","Non",34,"F",0,42,"40-50"
"16230523-1322","CDI",35,4013.1,12,0,1,8.1,59,"Compta Finances","Non",93,"F",0,41,"40-50"
"16951117-9468","CDI",24,3116.88,37,0,1,8.2,43,"RH","Oui",48,"F",3,66,"60-70"
"16870824-4853","CDI",35,2998.45,21,1,1,8.2,13,"Marketing","Oui",22,"H",3,34,"30-40"
"16780226-1060","CDI",35,1833.65,8,0,1,8.2,25,"Compta Finances","Non",17,"H",3,60,"50-60"
"16671208-2624","CDI",24,5951.92,32,1,0,8.2,65,"Marketing","Oui",1,"F",0,55,"50-60"
"16240920-3425","CDI",35,2309.8833,23,0,0,8.2,3,"Commercial","Non",63,"F",3,57,"50-60"
"16720627-1632","CDI",35,8716.2833,20,0,0,8.3,50,"R&D","Non",93,"H",1,38,"30-40"
"16431030-6354","CDI",35,4281.55,13,1,0,8.3,63,"Consultant","Non",50,"H",3,41,"40-50"
"16910826-9763","CDI",35,5388.7167,30,1,0,8.4,17,"Consultant","Oui",51,"F",1,50,"40-50"
"16021124-8356","CDI",35,7637.9333,21,1,0,8.6,34,"RH","Oui",84,"F",1,55,"50-60"
"16421204-6850","CDI",35,8696.5667,37,0,1,8.7,60,"Compta Finances","Oui",26,"H",3,65,"60-70"
"16430903-4405","CDI",35,3256.2833,34,0,0,8.8,13,"Marketing","Non",25,"F",3,59,"50-60"
"16810204-2564","CDI",35,9366.9333,8,1,1,9.1,46,"R&D","Oui",74,"F",1,51,"50-60"
"16081120-1045","CDI",35,9162.1833,17,1,1,9.1,46,"Consultant","Non",7,"F",3,57,"50-60"
"16891013-6921","CDI",35,2767.9167,6,1,0,9.2,44,"RH","Oui",88,"H",3,66,"60-70"
"16700908-2889","CDI",35,2511.6,21,0,1,9.2,21,"Commercial","Oui",79,"H",2,43,"40-50"
"16581203-8213","CDI",28,7269.08,7,1,1,9.2,65,"Consultant","Oui",5,"H",2,54,"50-60"
"16820822-2953","CDI",35,2070.25,24,0,0,9.3,45,"Consultant","Non",95,"F",2,31,"30-40"
"16420625-3827","CDI",28,5097.2133,10,1,0,9.3,35,"Consultant","Non",62,"H",0,48,"40-50"
"16310403-3810","CDI",35,4204.2,39,1,1,9.3,57,"Compta Finances","Oui",4,"F",0,55,"50-60"
"16731208-8904","CDI",35,6175.8667,38,0,1,9.7,30,"RH","Non",29,"H",0,34,"30-40"
"16660325-6006","CDI",35,6301.75,34,0,1,9.7,28,"Consultant","Oui",39,"F",1,63,"60-70"
"16450910-7050","CDI",35,5106.6167,10,0,1,9.8,22,"RH","Non",77,"F",3,54,"50-60"
"16340806-9395","CDI",24,4882.8,17,1,1,9.9,45,"Commercial","Oui",1,"F",0,57,"50-60"
"16090824-7661","CDI",28,7358.8667,31,1,1,9.9,48,"Marketing","Non",17,"H",2,35,"30-40"
"16610722-2223","CDI",35,7927.6167,32,1,0,10,21,"Commercial","Oui",42,"H",2,50,"40-50"
"16550903-3725","CDI",35,9928.1,27,1,0,10,16,"RH","Oui",58,"H",3,37,"30-40"
"16611004-8219","CDI",35,2916.55,35,1,1,10.2,42,"Commercial","Non",98,"F",2,44,"40-50"
"16461115-9486","CDI",35,4624.3167,15,0,0,10.2,35,"Marketing","Non",92,"H",1,44,"40-50"
"16020701-3376","CDI",35,8328.0167,14,1,0,10.2,59,"Compta Finances","Non",60,"F",1,40,"40-50"
"16890714-6248","CDI",24,1709.76,10,1,1,10.3,11,"Consultant","Oui",87,"H",0,55,"50-60"
"16760117-3029","CDI",35,8056.5333,13,0,1,10.3,31,"Compta Finances","Non",32,"F",1,64,"60-70"
"16100606-3398","CDI",35,3436.7667,27,1,1,10.3,11,"Compta Finances","Oui",44,"H",0,41,"40-50"
"16090206-9129","CDI",35,3459.5167,30,0,0,10.3,38,"Consultant","Oui",25,"F",1,60,"50-60"
"16960628-0338","CDI",35,5464.55,34,0,0,10.5,6,"Commercial","Non",47,"H",0,53,"50-60"
"16560416-4227","CDI",35,9777.95,4,1,0,10.5,56,"Commercial","Non",13,"F",0,46,"40-50"
"16360908-7378","CDI",35,8828.5167,17,0,1,10.6,18,"Commercial","Non",84,"F",3,38,"30-40"
"16740413-0572","CDI",35,9039.3333,20,1,1,10.7,30,"RH","Oui",1,"H",0,34,"30-40"
"16990414-3527","CDI",35,4296.7167,39,0,1,10.8,32,"Consultant","Non",39,"H",0,66,"60-70"
"16720410-2094","CDI",35,7942.7833,38,1,0,10.8,27,"Commercial","Oui",78,"F",3,51,"50-60"
"16370717-6461","CDI",35,4763.85,7,1,0,10.8,44,"Marketing","Oui",73,"F",2,44,"40-50"
"16620412-8323","CDI",35,3547.4833,39,1,0,11.7,43,"Consultant","Non",1,"F",2,42,"40-50"
"16560624-9059","CDI",35,8422.05,38,0,1,11.7,54,"Compta Finances","Oui",96,"F",0,58,"50-60"
"16500419-9062","CDI",35,8108.1,38,0,0,11.7,68,"RH","Oui",69,"F",1,38,"30-40"
"16411102-7886","CDI",35,3882.6667,1,0,1,11.8,46,"RH","Non",49,"H",1,37,"30-40"
"16011205-0331","CDI",24,4974.32,32,0,1,11.8,31,"Commercial","Oui",66,"F",2,64,"60-70"
"16610809-8713","CDI",24,1059.76,1,0,1,11.9,16,"Compta Finances","Non",68,"F",1,40,"40-50"
"16020327-1465","CDI",32,8860.8,19,1,1,11.9,65,"RH","Non",59,"F",3,48,"40-50"
"16661124-0695","CDI",35,4712.2833,26,1,1,12,66,"Consultant","Oui",46,"F",0,45,"40-50"
"16910810-9712","CDI",35,1873.0833,27,0,0,12.2,28,"Consultant","Oui",45,"H",1,53,"50-60"
"16580220-7323","CDI",35,1669.85,22,1,0,12.4,41,"Marketing","Non",32,"H",0,33,"30-40"
"16600521-9024","CDI",35,2843.75,2,0,0,12.5,11,"Consultant","Non",69,"H",1,52,"50-60"
"16181114-4680","CDI",35,7601.5333,19,1,1,12.5,53,"Compta Finances","Non",55,"F",0,47,"40-50"
"16460313-0032","CDI",35,4289.1333,12,0,1,12.6,33,"Consultant","Oui",82,"F",0,67,"60-70"
"16000206-8278","CDI",35,6583.85,13,1,1,12.6,59,"Marketing","Non",67,"F",2,63,"60-70"
"16640715-7632","CDI",35,7263.3167,30,1,0,12.7,16,"RH","Oui",84,"H",3,59,"50-60"
"16710125-5136","CDI",35,2369.0333,20,0,0,12.8,20,"Commercial","Oui",52,"F",1,40,"40-50"
"16981206-3817","CDI",35,3705.2167,29,1,1,13,68,"RH","Oui",62,"F",1,52,"50-60"
"16470418-3807","CDI",35,9978.15,34,0,1,13,26,"Compta Finances","Oui",78,"H",0,51,"50-60"
"16920917-6040","CDI",35,6195.5833,23,0,1,13.1,27,"Commercial","Oui",56,"H",1,52,"50-60"
"16111023-3358","CDI",35,8696.5667,34,1,0,13.1,19,"Marketing","Oui",89,"H",3,64,"60-70"
"16460901-5575","CDI",24,2055.04,12,0,1,13.2,44,"Consultant","Non",37,"H",2,65,"60-70"
"16080411-7877","CDI",28,2813.72,8,1,1,13.3,17,"Consultant","Non",9,"H",3,60,"50-60"
"16460901-9957","CDI",35,2079.35,7,1,1,13.7,34,"Compta Finances","Oui",40,"F",0,53,"50-60"
"16290605-1228","CDI",35,7637.9333,27,0,0,13.8,68,"Marketing","Non",59,"H",3,41,"40-50"
"16110307-6129","CDI",35,9497.3667,17,1,1,13.8,63,"Commercial","Oui",81,"F",3,51,"50-60"
"16101212-2048","CDI",35,5749.6833,17,0,0,13.8,51,"Commercial","Non",19,"H",0,59,"50-60"
"16330528-4048","CDI",35,9555,20,1,0,13.9,50,"Commercial","Oui",15,"F",1,39,"30-40"
"16260907-1895","CDI",35,1598.5667,18,0,1,14,44,"Marketing","Non",40,"F",1,38,"30-40"
"16600811-0956","CDI",35,4421.0833,6,1,1,14.2,8,"Compta Finances","Non",28,"H",3,57,"50-60"
"16221207-5101","CDI",35,2024.75,4,1,0,14.2,4,"Consultant","Oui",42,"H",0,50,"40-50"
"16320910-2411","CDI",35,7713.7667,23,1,0,14.3,31,"Commercial","Oui",31,"H",3,58,"50-60"
"16170310-5534","CDI",35,6127.3333,0,1,0,14.3,65,"Compta Finances","Non",94,"F",3,54,"50-60"
"16410421-3634","CDI",35,3835.65,26,0,1,14.9,13,"RH","Oui",99,"F",3,60,"50-60"
"16310121-8257","CDI",35,9488.2667,38,1,1,14.9,6,"Commercial","Non",52,"H",0,58,"50-60"
"16021125-4271","CDI",35,1590.9833,30,1,0,14.9,36,"Commercial","Non",62,"H",2,51,"50-60"
"16320923-9437","CDI",35,5067.1833,39,1,0,15.1,34,"RH","Non",55,"F",0,58,"50-60"
"16920528-2461","CDI",35,8458.45,1,0,0,15.2,31,"R&D","Non",35,"H",2,42,"40-50"
"16080824-2457","CDI",35,7753.2,21,1,0,15.2,62,"Compta Finances","Non",96,"H",2,48,"40-50"
"16900402-0286","CDI",35,7264.8333,31,0,1,15.6,65,"Marketing","Oui",64,"H",2,62,"60-70"
"16830122-2462","CDI",35,8714.7667,37,1,0,15.6,24,"Commercial","Non",80,"H",0,61,"60-70"
"16400112-6921","CDI",35,4022.2,14,0,1,15.6,36,"Marketing","Non",37,"H",1,62,"60-70"
"16850430-6617","CDI",35,5359.9,4,1,0,15.7,45,"RH","Non",80,"H",1,65,"60-70"
"16820814-8992","CDI",35,8073.2167,38,1,1,15.7,29,"Compta Finances","Non",70,"H",3,54,"50-60"
"16710920-7451","CDI",35,5585.8833,17,1,0,15.7,48,"Consultant","Non",50,"F",1,38,"30-40"
"16540514-9153","CDI",35,4263.35,31,0,0,15.7,69,"Compta Finances","Non",48,"H",0,59,"50-60"
"16910501-3081","CDI",35,4152.6333,7,1,1,15.8,46,"Commercial","Oui",60,"F",0,53,"50-60"
"16250316-9381","CDI",35,8655.6167,26,1,0,15.8,68,"Compta Finances","Oui",25,"F",0,48,"40-50"
"16741025-9738","CDI",35,5056.5667,24,1,1,16.2,66,"RH","Non",46,"F",2,38,"30-40"
"16720411-0782","CDI",35,2731.5167,4,1,1,16.2,21,"Consultant","Oui",3,"F",2,53,"50-60"
"16490707-4639","CDI",35,4563.65,38,1,0,16.2,55,"Marketing","Oui",51,"F",1,53,"50-60"
"16181217-7101","CDI",24,2507.44,18,1,1,16.2,47,"RH","Oui",98,"F",2,52,"50-60"
"16170623-3887","CDI",35,3012.1,19,1,1,16.2,19,"RH","Non",15,"F",2,59,"50-60"
"16111130-1717","CDI",35,5949.8833,17,1,0,16.2,69,"Commercial","Oui",41,"H",3,37,"30-40"
"16910902-6667","CDI",35,8218.8167,14,0,1,16.3,28,"Compta Finances","Oui",32,"F",2,67,"60-70"
"16630411-0916","CDI",35,1772.9833,20,1,1,16.4,23,"Compta Finances","Non",44,"H",3,56,"50-60"
"16100719-6502","CDI",35,7889.7,27,0,1,16.5,47,"Compta Finances","Non",53,"F",0,38,"30-40"
"16680515-6269","CDI",35,3597.5333,32,1,1,16.8,60,"Marketing","Oui",38,"F",2,44,"40-50"
"16220127-8625","CDI",35,6043.9167,3,1,1,16.9,65,"Consultant","Oui",36,"H",2,48,"40-50"
"16440819-3466","CDI",35,3260.8333,30,1,0,17,28,"Commercial","Oui",42,"F",1,41,"40-50"
"16820525-6301","CDI",35,1651.65,18,0,0,17.1,43,"Consultant","Non",69,"H",0,45,"40-50"
"16820319-6442","CDI",35,3383.6833,23,0,0,17.2,11,"Compta Finances","Oui",56,"H",2,53,"50-60"
"16600919-9578","CDI",35,9785.5333,28,0,1,17.2,48,"Commercial","Oui",40,"H",1,40,"40-50"
"16621028-8244","CDI",35,6902.35,17,0,1,17.3,45,"Commercial","Non",21,"F",3,40,"40-50"
"16311229-8504","CDI",35,7687.9833,9,0,0,17.3,69,"RH","Non",47,"F",0,49,"40-50"
"16820517-1112","CDI",35,4516.6333,34,1,0,17.4,42,"Consultant","Oui",90,"F",1,49,"40-50"
"16190724-3065","CDI",35,2561.65,13,0,0,17.4,41,"Consultant","Oui",68,"H",0,40,"40-50"
"16960619-9017","CDI",35,9999.3833,27,0,1,17.8,56,"Marketing","Oui",34,"H",0,45,"40-50"
"16030828-8604","CDI",35,8126.3,36,1,0,18.2,23,"Commercial","Oui",54,"F",1,51,"50-60"
"16850330-5826","CDI",35,9069.6667,1,0,0,18.4,64,"Commercial","Non",11,"H",2,48,"40-50"
"16100424-1459","CDI",24,5724.16,15,1,1,18.6,49,"Compta Finances","Non",100,"H",3,40,"40-50"
"16050721-8014","CDI",35,5293.1667,39,0,1,18.6,16,"RH","Non",30,"F",3,66,"60-70"
"16460821-8733","CDI",35,9573.2,7,0,0,18.7,26,"Commercial","Oui",48,"H",1,52,"50-60"
"16950514-2464","CDI",35,2769.4333,33,0,0,18.9,69,"Compta Finances","Oui",89,"H",2,43,"40-50"
"16760706-4982","CDI",35,1835.1667,6,0,1,19,3,"Compta Finances","Non",15,"H",1,42,"40-50"
"16400510-0542","CDI",35,5455.45,7,0,1,19,7,"Consultant","Oui",8,"H",3,57,"50-60"
"16240230-3065","CDI",35,9642.9667,17,0,0,19,13,"RH","Non",3,"H",0,59,"50-60"
"16230105-6343","CDI",35,6973.6333,31,0,1,19.1,50,"Consultant","Oui",99,"H",0,57,"50-60"
"16200506-8370","CDI",35,6031.7833,39,1,0,19.2,35,"Commercial","Oui",74,"H",2,50,"40-50"
"16650614-4689","CDI",35,3218.3667,27,1,0,19.3,23,"RH","Non",23,"F",3,55,"50-60"
"16301226-6122","CDI",35,3655.1667,33,0,1,19.3,41,"Marketing","Oui",69,"H",1,67,"60-70"
"16530329-9431","CDI",35,8629.8333,3,0,0,19.4,38,"Commercial","Non",44,"F",0,52,"50-60"
"16090608-0239","CDI",24,3060.72,6,0,1,19.5,30,"RH","Non",73,"F",2,56,"50-60"
"16931009-2151","CDI",35,7081.3167,26,0,1,20,8,"R&D","Non",31,"H",0,58,"50-60"
"16400410-2770","CDI",35,8428.1167,18,1,0,20,57,"Commercial","Oui",44,"H",2,57,"50-60"
"16691022-5702","CDI",35,9400.3,3,1,1,20.1,12,"Consultant","Non",25,"H",1,60,"50-60"
"16940414-0312","CDI",35,7308.8167,12,0,1,20.2,53,"Consultant","Non",24,"F",3,43,"40-50"
"16430518-1481","CDI",35,6591.4333,19,0,0,20.2,65,"Consultant","Oui",63,"F",1,64,"60-70"
"16710204-1402","CDI",35,8277.9667,10,0,0,20.4,55,"RH","Non",78,"H",0,42,"40-50"
"16620606-6349","CDI",35,3803.8,30,0,0,20.4,9,"RH","Non",39,"H",1,48,"40-50"
"16491209-6288","CDI",35,6121.2667,32,0,0,20.5,45,"Commercial","Oui",7,"H",0,43,"40-50"
"16060812-9664","CDI",35,2604.1167,32,1,0,20.5,61,"Compta Finances","Oui",70,"H",0,65,"60-70"
"16700930-1784","CDI",35,3462.55,3,1,0,20.6,13,"Marketing","Oui",99,"H",0,45,"40-50"
"16520121-8566","CDI",24,4851.6,14,0,0,20.6,64,"RH","Oui",11,"F",0,41,"40-50"
"16721204-5277","CDI",35,9447.3167,0,1,1,21.1,61,"Consultant","Oui",1,"H",2,51,"50-60"
"16421009-6154","CDI",35,2073.2833,28,0,1,21.1,5,"Consultant","Non",59,"F",2,48,"40-50"
"16340716-8222","CDI",35,5805.8,37,0,0,21.1,22,"Commercial","Non",15,"H",3,42,"40-50"
"16381004-1917","CDI",24,2735.2,27,0,1,21.2,49,"RH","Non",47,"H",0,61,"60-70"
"16211102-1297","CDI",35,2918.0667,39,1,1,21.2,44,"Consultant","Non",89,"H",0,52,"50-60"
"16590918-0399","CDI",35,8563.1,7,0,0,21.5,55,"RH","Oui",87,"H",2,48,"40-50"
"16721116-8286","CDI",35,2396.3333,11,0,1,21.6,14,"Commercial","Oui",62,"H",2,53,"50-60"
"16970415-1050","CDI",35,1697.15,17,1,0,21.7,59,"Consultant","Non",98,"H",3,58,"50-60"
"16451112-4747","CDI",35,8056.5333,14,0,0,21.8,31,"Marketing","Oui",75,"F",1,53,"50-60"
"16500514-6310","CDI",35,7496.8833,6,1,0,21.9,55,"Commercial","Non",77,"F",0,46,"40-50"
"16590417-5196","CDI",35,4988.3167,8,0,0,22.2,37,"Compta Finances","Non",52,"H",0,55,"50-60"
"16431129-7214","CDI",35,7877.5667,36,1,0,22.2,28,"RH","Non",63,"F",3,50,"40-50"
"16601210-4086","CDI",35,4082.8667,28,0,1,22.3,37,"Marketing","Non",74,"F",1,48,"40-50"
"16931211-0175","CDI",24,5895.76,23,1,1,22.4,64,"Commercial","Non",15,"F",3,57,"50-60"
"16781122-5775","CDI",35,3582.3667,30,1,1,22.4,48,"Marketing","Non",81,"H",2,51,"50-60"
"16990924-2829","CDI",35,9873.5,13,0,0,22.5,69,"Consultant","Non",60,"F",3,46,"40-50"
"16560125-0110","CDI",35,3677.9167,33,0,0,22.6,47,"Commercial","Non",95,"H",1,43,"40-50"
"16320710-7636","CDI",24,4165.2,12,0,1,22.6,43,"R&D","Non",41,"H",2,62,"60-70"
"16560122-3612","CDI",35,9940.2333,24,0,0,22.7,4,"Marketing","Non",45,"H",0,45,"40-50"
"16341225-2086","CDI",32,6743.36,4,0,0,22.7,59,"Compta Finances","Oui",6,"F",3,47,"40-50"
"16880121-1056","CDI",35,6002.9667,2,1,1,22.8,38,"Marketing","Oui",70,"H",1,52,"50-60"
"16560730-2626","CDI",35,6526.2167,36,0,1,22.8,67,"R&D","Oui",4,"H",1,64,"60-70"
"16431025-4026","CDI",35,4134.4333,22,0,0,22.8,62,"Consultant","Non",34,"H",0,44,"40-50"
"16730908-9915","CDI",35,7898.8,35,0,1,23,3,"Compta Finances","Oui",65,"F",1,66,"60-70"
"16031007-1667","CDI",35,5092.9667,11,1,1,23.1,49,"Commercial","Oui",31,"F",0,47,"40-50"
"16571101-6617","CDI",35,7098,1,1,1,23.2,29,"Commercial","Oui",39,"H",1,54,"50-60"
"16920713-6616","CDI",35,5517.6333,23,1,1,23.3,9,"Marketing","Non",81,"H",1,50,"40-50"
"16370212-9440","CDI",35,7654.6167,5,1,1,23.3,60,"R&D","Oui",54,"H",3,47,"40-50"
"16341230-0471","CDI",24,6178.64,17,0,0,23.3,48,"R&D","Oui",57,"H",2,54,"50-60"
"16560103-9174","CDI",35,2777.0167,10,1,0,23.5,14,"Consultant","Oui",66,"H",1,62,"60-70"
"16851208-5567","CDI",28,1851.5467,19,0,1,23.7,38,"Consultant","Oui",15,"H",0,50,"40-50"
"16050210-5695","CDI",35,9426.0833,24,1,0,23.8,40,"Consultant","Non",9,"F",1,56,"50-60"
"16800116-6613","CDI",24,6842.16,21,1,1,23.9,37,"Marketing","Non",1,"H",1,62,"60-70"
"16750302-5590","CDI",35,5581.3333,20,1,0,23.9,47,"Commercial","Oui",86,"F",1,44,"40-50"
"16390127-6224","CDI",35,3797.7333,24,0,0,23.9,52,"RH","Oui",29,"F",1,56,"50-60"
"16050619-6252","CDI",35,6163.7333,16,1,1,23.9,70,"Commercial","Oui",38,"F",2,53,"50-60"
"16861012-1389","CDI",35,3508.05,11,0,1,24,60,"RH","Oui",92,"H",2,53,"50-60"
"16390301-2403","CDI",35,5035.3333,24,0,1,24,55,"RH","Oui",95,"H",3,61,"60-70"
"16080130-8107","CDI",35,7184.45,37,1,1,24.1,28,"Marketing","Non",54,"H",0,47,"40-50"
"16550904-2932","CDI",35,4424.1167,30,0,0,24.2,58,"Marketing","Non",29,"F",3,52,"50-60"
"16350127-5733","CDI",35,2828.5833,21,0,0,24.2,9,"Commercial","Oui",86,"H",3,56,"50-60"
